week,year,quarter,month,week_number,sku,functionality,functionality_code,color,color_code,feat_main_page,feat_main_flag,vendor,weekly_sales,price,revenue
2017-03-20,2017,1,3,12,1,"Mobile phone accessories",6,black,1,FALSE,0,6,6,28.69,172.14
2017-03-27,2017,1,3,13,1,"Mobile phone accessories",6,black,1,FALSE,0,6,9,21.21,190.89
2017-04-03,2017,2,4,14,1,"Mobile phone accessories",6,black,1,TRUE,1,6,6,27.69,166.14
2017-04-10,2017,2,4,15,1,"Mobile phone accessories",6,black,1,FALSE,0,6,4,27.69,110.76
2017-04-17,2017,2,4,16,1,"Mobile phone accessories",6,black,1,FALSE,0,6,13,29.69,385.97
2017-04-24,2017,2,4,17,1,"Mobile phone accessories",6,black,1,FALSE,0,6,7,27.69,193.83
2017-05-01,2017,2,5,18,1,"Mobile phone accessories",6,black,1,FALSE,0,6,9,23.79,214.11
2017-05-08,2017,2,5,19,1,"Mobile phone accessories",6,black,1,FALSE,0,6,4,26.50,106.00
2017-05-15,2017,2,5,20,1,"Mobile phone accessories",6,black,1,FALSE,0,6,5,28.69,143.45
2017-05-22,2017,2,5,21,1,"Mobile phone accessories",6,black,1,FALSE,0,6,9,24.42,219.78
2017-05-29,2017,2,5,22,1,"Mobile phone accessories",6,black,1,FALSE,0,6,7,28.69,200.83
2017-06-05,2017,2,6,23,1,"Mobile phone accessories",6,black,1,FALSE,0,6,8,27.69,221.52
2017-06-12,2017,2,6,24,1,"Mobile phone accessories",6,black,1,FALSE,0,6,11,22.35,245.85
2017-06-19,2017,2,6,25,1,"Mobile phone accessories",6,black,1,FALSE,0,6,5,29.69,148.45
2017-06-26,2017,2,6,26,1,"Mobile phone accessories",6,black,1,FALSE,0,6,8,27.69,221.52
2017-07-03,2017,3,7,27,1,"Mobile phone accessories",6,black,1,FALSE,0,6,7,13.11,91.77
2017-07-10,2017,3,7,28,1,"Mobile phone accessories",6,black,1,FALSE,0,6,10,28.31,283.10
2017-07-17,2017,3,7,29,1,"Mobile phone accessories",6,black,1,FALSE,0,6,7,27.69,193.83
2017-07-24,2017,3,7,30,1,"Mobile phone accessories",6,black,1,FALSE,0,6,5,28.74,143.70
2017-07-31,2017,3,7,31,1,"Mobile phone accessories",6,black,1,FALSE,0,6,5,27.69,138.45
2017-08-07,2017,3,8,32,1,"Mobile phone accessories",6,black,1,FALSE,0,6,13,27.69,359.97
2017-08-14,2017,3,8,33,1,"Mobile phone accessories",6,black,1,FALSE,0,6,4,23.01,92.04
2017-08-21,2017,3,8,34,1,"Mobile phone accessories",6,black,1,FALSE,0,6,7,22.64,158.48
2017-08-28,2017,3,8,35,1,"Mobile phone accessories",6,black,1,FALSE,0,6,10,23.98,239.80
2017-09-04,2017,3,9,36,1,"Mobile phone accessories",6,black,1,FALSE,0,6,7,21.40,149.80
2017-09-11,2017,3,9,37,1,"Mobile phone accessories",6,black,1,FALSE,0,6,5,26.49,132.45
2017-09-18,2017,3,9,38,1,"Mobile phone accessories",6,black,1,FALSE,0,6,6,25.49,152.94
2017-09-25,2017,3,9,39,1,"Mobile phone accessories",6,black,1,FALSE,0,6,11,26.49,291.39
2017-10-02,2017,4,10,40,1,"Mobile phone accessories",6,black,1,FALSE,0,6,12,25.98,311.76
2017-10-09,2017,4,10,41,1,"Mobile phone accessories",6,black,1,FALSE,0,6,4,27.49,109.96
2017-10-16,2017,4,10,42,1,"Mobile phone accessories",6,black,1,FALSE,0,6,9,25.49,229.41
2017-10-23,2017,4,10,43,1,"Mobile phone accessories",6,black,1,FALSE,0,6,11,26.47,291.17
2017-10-30,2017,4,10,44,1,"Mobile phone accessories",6,black,1,FALSE,0,6,8,21.33,170.64
2017-11-06,2017,4,11,45,1,"Mobile phone accessories",6,black,1,FALSE,0,6,8,24.70,197.60
2017-11-13,2017,4,11,46,1,"Mobile phone accessories",6,black,1,FALSE,0,6,17,26.89,457.13
2017-11-20,2017,4,11,47,1,"Mobile phone accessories",6,black,1,FALSE,0,6,8,24.98,199.84
2017-11-27,2017,4,11,48,1,"Mobile phone accessories",6,black,1,FALSE,0,6,7,26.49,185.43
2017-12-04,2017,4,12,49,1,"Mobile phone accessories",6,black,1,FALSE,0,6,7,26.49,185.43
2017-12-11,2017,4,12,50,1,"Mobile phone accessories",6,black,1,FALSE,0,6,9,23.04,207.36
2017-12-18,2017,4,12,51,1,"Mobile phone accessories",6,black,1,FALSE,0,6,3,26.49,79.47
2017-12-25,2017,4,12,52,1,"Mobile phone accessories",6,black,1,FALSE,0,6,10,27.49,274.90
2018-01-01,2018,1,1,0,1,"Mobile phone accessories",6,black,1,FALSE,0,6,7,24.30,170.10
2018-01-08,2018,1,1,1,1,"Mobile phone accessories",6,black,1,FALSE,0,6,13,25.49,331.37
2018-01-15,2018,1,1,2,1,"Mobile phone accessories",6,black,1,FALSE,0,6,11,24.80,272.80
2018-01-22,2018,1,1,3,1,"Mobile phone accessories",6,black,1,FALSE,0,6,6,26.49,158.94
2018-01-29,2018,1,1,4,1,"Mobile phone accessories",6,black,1,FALSE,0,6,5,25.49,127.45
2018-02-05,2018,1,2,5,1,"Mobile phone accessories",6,black,1,FALSE,0,6,7,26.49,185.43
2018-02-12,2018,1,2,6,1,"Mobile phone accessories",6,black,1,TRUE,1,6,8,25.18,201.44
2018-02-19,2018,1,2,7,1,"Mobile phone accessories",6,black,1,FALSE,0,6,3,25.43,76.29
2018-02-26,2018,1,2,8,1,"Mobile phone accessories",6,black,1,FALSE,0,6,10,22.00,220.00
2018-03-05,2018,1,3,9,1,"Mobile phone accessories",6,black,1,FALSE,0,6,14,27.49,384.86
2018-03-12,2018,1,3,10,1,"Mobile phone accessories",6,black,1,TRUE,1,6,29,25.32,734.28
2018-03-19,2018,1,3,11,1,"Mobile phone accessories",6,black,1,FALSE,0,6,26,25.49,662.74
2018-03-26,2018,1,3,12,1,"Mobile phone accessories",6,black,1,FALSE,0,6,16,27.49,439.84
2018-04-02,2018,2,4,13,1,"Mobile phone accessories",6,black,1,TRUE,1,6,28,27.49,769.72
2018-04-09,2018,2,4,14,1,"Mobile phone accessories",6,black,1,FALSE,0,6,13,25.49,331.37
2018-04-16,2018,2,4,15,1,"Mobile phone accessories",6,black,1,FALSE,0,6,15,25.49,382.35
2018-04-23,2018,2,4,16,1,"Mobile phone accessories",6,black,1,TRUE,1,6,27,26.49,715.23
2018-04-30,2018,2,4,17,1,"Mobile phone accessories",6,black,1,FALSE,0,6,13,27.49,357.37
2018-05-07,2018,2,5,18,1,"Mobile phone accessories",6,black,1,TRUE,1,6,26,26.49,688.74
2018-05-14,2018,2,5,19,1,"Mobile phone accessories",6,black,1,FALSE,0,6,20,25.49,509.80
2018-05-21,2018,2,5,20,1,"Mobile phone accessories",6,black,1,FALSE,0,6,23,25.49,586.27
2018-05-28,2018,2,5,21,1,"Mobile phone accessories",6,black,1,FALSE,0,6,21,27.49,577.29
2018-06-04,2018,2,6,22,1,"Mobile phone accessories",6,black,1,FALSE,0,6,21,22.85,479.85
2018-06-11,2018,2,6,23,1,"Mobile phone accessories",6,black,1,FALSE,0,6,22,22.85,502.70
2018-06-18,2018,2,6,24,1,"Mobile phone accessories",6,black,1,FALSE,0,6,21,24.85,521.85
2018-06-25,2018,2,6,25,1,"Mobile phone accessories",6,black,1,FALSE,0,6,23,24.85,571.55
2018-07-02,2018,3,7,26,1,"Mobile phone accessories",6,black,1,TRUE,1,6,28,26.49,741.72
2018-07-09,2018,3,7,27,1,"Mobile phone accessories",6,black,1,FALSE,0,6,16,25.49,407.84
2018-07-16,2018,3,7,28,1,"Mobile phone accessories",6,black,1,TRUE,1,6,32,25.49,815.68
2018-07-23,2018,3,7,29,1,"Mobile phone accessories",6,black,1,TRUE,1,6,17,21.42,364.14
2018-07-30,2018,3,7,30,1,"Mobile phone accessories",6,black,1,FALSE,0,6,15,31.56,473.40
2018-08-06,2018,3,8,31,1,"Mobile phone accessories",6,black,1,FALSE,0,6,18,31.56,568.08
2018-08-13,2018,3,8,32,1,"Mobile phone accessories",6,black,1,FALSE,0,6,10,30.56,305.60
2018-08-20,2018,3,8,33,1,"Mobile phone accessories",6,black,1,FALSE,0,6,16,30.56,488.96
2018-08-27,2018,3,8,34,1,"Mobile phone accessories",6,black,1,FALSE,0,6,16,29.56,472.96
2018-09-03,2018,3,9,35,1,"Mobile phone accessories",6,black,1,FALSE,0,6,15,31.56,473.40
2018-09-10,2018,3,9,36,1,"Mobile phone accessories",6,black,1,FALSE,0,6,21,25.49,535.29
2018-09-17,2018,3,9,37,1,"Mobile phone accessories",6,black,1,TRUE,1,6,32,22.05,705.60
2018-09-24,2018,3,9,38,1,"Mobile phone accessories",6,black,1,FALSE,0,6,19,27.49,522.31
2016-10-31,2016,4,10,44,2,Headphones,7,blue,2,FALSE,0,1,9,62.93,566.37
2016-11-07,2016,4,11,45,2,Headphones,7,blue,2,FALSE,0,1,6,64.99,389.94
2016-11-14,2016,4,11,46,2,Headphones,7,blue,2,FALSE,0,1,2,65.99,131.98
2016-11-21,2016,4,11,47,2,Headphones,7,blue,2,FALSE,0,1,2,63.99,127.98
2016-11-28,2016,4,11,48,2,Headphones,7,blue,2,FALSE,0,1,6,59.49,356.94
2016-12-05,2016,4,12,49,2,Headphones,7,blue,2,FALSE,0,1,2,64.99,129.98
2016-12-12,2016,4,12,50,2,Headphones,7,blue,2,FALSE,0,1,8,65.99,527.92
2016-12-19,2016,4,12,51,2,Headphones,7,blue,2,FALSE,0,1,3,64.99,194.97
2016-12-26,2016,4,12,52,2,Headphones,7,blue,2,FALSE,0,1,3,64.99,194.97
2017-01-02,2017,1,1,1,2,Headphones,7,blue,2,FALSE,0,1,1,64.99,64.99
2017-01-09,2017,1,1,2,2,Headphones,7,blue,2,FALSE,0,1,3,64.99,194.97
2017-01-16,2017,1,1,3,2,Headphones,7,blue,2,FALSE,0,1,3,64.99,194.97
2017-01-23,2017,1,1,4,2,Headphones,7,blue,2,FALSE,0,1,8,65.99,527.92
2017-01-30,2017,1,1,5,2,Headphones,7,blue,2,FALSE,0,1,2,63.99,127.98
2017-02-06,2017,1,2,6,2,Headphones,7,blue,2,FALSE,0,1,3,63.99,191.97
2017-02-13,2017,1,2,7,2,Headphones,7,blue,2,FALSE,0,1,7,64.99,454.93
2017-02-20,2017,1,2,8,2,Headphones,7,blue,2,FALSE,0,1,2,30.99,61.98
2017-02-27,2017,1,2,9,2,Headphones,7,blue,2,TRUE,1,1,4,63.24,252.96
2017-03-06,2017,1,3,10,2,Headphones,7,blue,2,TRUE,1,1,8,53.99,431.92
2017-03-13,2017,1,3,11,2,Headphones,7,blue,2,FALSE,0,1,8,52.05,416.40
2017-03-20,2017,1,3,12,2,Headphones,7,blue,2,FALSE,0,1,8,75.14,601.12
2017-03-27,2017,1,3,13,2,Headphones,7,blue,2,FALSE,0,1,2,71.49,142.98
2017-04-03,2017,2,4,14,2,Headphones,7,blue,2,FALSE,0,1,3,64.99,194.97
2017-04-10,2017,2,4,15,2,Headphones,7,blue,2,FALSE,0,1,6,75.99,455.94
2017-04-17,2017,2,4,16,2,Headphones,7,blue,2,FALSE,0,1,5,63.99,319.95
2017-04-24,2017,2,4,17,2,Headphones,7,blue,2,TRUE,1,1,4,54.99,219.96
2017-05-01,2017,2,5,18,2,Headphones,7,blue,2,TRUE,1,1,23,56.09,1290.07
2017-05-08,2017,2,5,19,2,Headphones,7,blue,2,FALSE,0,1,3,64.99,194.97
2017-05-15,2017,2,5,20,2,Headphones,7,blue,2,TRUE,1,1,27,40.57,1095.39
2017-05-22,2017,2,5,21,2,Headphones,7,blue,2,TRUE,1,1,7,47.66,333.62
2017-05-29,2017,2,5,22,2,Headphones,7,blue,2,FALSE,0,1,7,65.99,461.93
2017-06-05,2017,2,6,23,2,Headphones,7,blue,2,FALSE,0,1,7,64.99,454.93
2017-06-12,2017,2,6,24,2,Headphones,7,blue,2,FALSE,0,1,3,64.99,194.97
2017-06-19,2017,2,6,25,2,Headphones,7,blue,2,FALSE,0,1,1,64.99,64.99
2017-06-26,2017,2,6,26,2,Headphones,7,blue,2,FALSE,0,1,6,64.99,389.94
2017-07-03,2017,3,7,27,2,Headphones,7,blue,2,FALSE,0,1,5,65.99,329.95
2017-07-10,2017,3,7,28,2,Headphones,7,blue,2,FALSE,0,1,7,58.72,411.04
2017-07-17,2017,3,7,29,2,Headphones,7,blue,2,FALSE,0,1,6,63.99,383.94
2017-07-24,2017,3,7,30,2,Headphones,7,blue,2,FALSE,0,1,9,62.34,561.06
2017-07-31,2017,3,7,31,2,Headphones,7,blue,2,FALSE,0,1,3,64.99,194.97
2017-08-07,2017,3,8,32,2,Headphones,7,blue,2,FALSE,0,1,3,63.99,191.97
2017-08-14,2017,3,8,33,2,Headphones,7,blue,2,FALSE,0,1,9,61.19,550.71
2017-08-21,2017,3,8,34,2,Headphones,7,blue,2,FALSE,0,1,2,63.99,127.98
2017-08-28,2017,3,8,35,2,Headphones,7,blue,2,FALSE,0,1,6,50.21,301.26
2017-09-04,2017,3,9,36,2,Headphones,7,blue,2,FALSE,0,1,4,65.99,263.96
2017-09-11,2017,3,9,37,2,Headphones,7,blue,2,FALSE,0,1,5,56.73,283.65
2017-09-18,2017,3,9,38,2,Headphones,7,blue,2,FALSE,0,1,7,64.99,454.93
2017-09-25,2017,3,9,39,2,Headphones,7,blue,2,FALSE,0,1,13,65.99,857.87
2017-10-02,2017,4,10,40,2,Headphones,7,blue,2,FALSE,0,1,3,57.07,171.21
2017-10-09,2017,4,10,41,2,Headphones,7,blue,2,FALSE,0,1,6,57.07,342.42
2017-10-16,2017,4,10,42,2,Headphones,7,blue,2,FALSE,0,1,5,71.49,357.45
2017-10-23,2017,4,10,43,2,Headphones,7,blue,2,FALSE,0,1,1,71.49,71.49
2017-10-30,2017,4,10,44,2,Headphones,7,blue,2,FALSE,0,1,6,66.81,400.86
2017-11-06,2017,4,11,45,2,Headphones,7,blue,2,FALSE,0,1,6,65.13,390.78
2017-11-13,2017,4,11,46,2,Headphones,7,blue,2,FALSE,0,1,6,69.49,416.94
2017-11-20,2017,4,11,47,2,Headphones,7,blue,2,FALSE,0,1,2,70.49,140.98
2017-11-27,2017,4,11,48,2,Headphones,7,blue,2,FALSE,0,1,2,70.49,140.98
2017-12-04,2017,4,12,49,2,Headphones,7,blue,2,FALSE,0,1,3,69.49,208.47
2017-12-11,2017,4,12,50,2,Headphones,7,blue,2,FALSE,0,1,3,69.49,208.47
2017-12-18,2017,4,12,51,2,Headphones,7,blue,2,FALSE,0,1,5,70.49,352.45
2017-12-25,2017,4,12,52,2,Headphones,7,blue,2,FALSE,0,1,8,71.49,571.92
2018-01-01,2018,1,1,0,2,Headphones,7,blue,2,FALSE,0,1,2,71.49,142.98
2018-01-08,2018,1,1,1,2,Headphones,7,blue,2,FALSE,0,1,3,71.49,214.47
2018-01-15,2018,1,1,2,2,Headphones,7,blue,2,FALSE,0,1,6,70.49,422.94
2018-01-22,2018,1,1,3,2,Headphones,7,blue,2,FALSE,0,1,2,71.49,142.98
2018-01-29,2018,1,1,4,2,Headphones,7,blue,2,FALSE,0,1,9,65.36,588.24
2018-02-05,2018,1,2,5,2,Headphones,7,blue,2,FALSE,0,1,8,65.99,527.92
2018-02-12,2018,1,2,6,2,Headphones,7,blue,2,FALSE,0,1,8,75.42,603.36
2018-02-19,2018,1,2,7,2,Headphones,7,blue,2,TRUE,1,1,49,64.99,3184.51
2018-02-26,2018,1,2,8,2,Headphones,7,blue,2,FALSE,0,1,48,61.97,2974.56
2018-03-05,2018,1,3,9,2,Headphones,7,blue,2,FALSE,0,1,27,65.99,1781.73
2018-03-12,2018,1,3,10,2,Headphones,7,blue,2,FALSE,0,1,52,63.99,3327.48
2018-03-19,2018,1,3,11,2,Headphones,7,blue,2,FALSE,0,1,34,64.99,2209.66
2018-03-26,2018,1,3,12,2,Headphones,7,blue,2,FALSE,0,1,9,64.99,584.91
2018-04-02,2018,2,4,13,2,Headphones,7,blue,2,TRUE,1,1,10,65.99,659.90
2018-04-09,2018,2,4,14,2,Headphones,7,blue,2,FALSE,0,1,9,63.99,575.91
2018-04-16,2018,2,4,15,2,Headphones,7,blue,2,FALSE,0,1,12,65.99,791.88
2018-04-23,2018,2,4,16,2,Headphones,7,blue,2,FALSE,0,1,10,64.99,649.90
2018-04-30,2018,2,4,17,2,Headphones,7,blue,2,FALSE,0,1,18,54.67,984.06
2018-05-07,2018,2,5,18,2,Headphones,7,blue,2,FALSE,0,1,16,50.79,812.64
2018-05-14,2018,2,5,19,2,Headphones,7,blue,2,FALSE,0,1,11,64.99,714.89
2018-05-21,2018,2,5,20,2,Headphones,7,blue,2,FALSE,0,1,12,64.99,779.88
2018-05-28,2018,2,5,21,2,Headphones,7,blue,2,FALSE,0,1,15,55.75,836.25
2018-06-04,2018,2,6,22,2,Headphones,7,blue,2,FALSE,0,1,17,53.99,917.83
2018-06-11,2018,2,6,23,2,Headphones,7,blue,2,FALSE,0,1,15,53.99,809.85
2018-06-18,2018,2,6,24,2,Headphones,7,blue,2,FALSE,0,1,12,64.99,779.88
2018-06-25,2018,2,6,25,2,Headphones,7,blue,2,FALSE,0,1,14,65.99,923.86
2018-07-02,2018,3,7,26,2,Headphones,7,blue,2,FALSE,0,1,2,73.89,147.78
2018-07-09,2018,3,7,27,2,Headphones,7,blue,2,FALSE,0,1,4,75.89,303.56
2018-07-16,2018,3,7,28,2,Headphones,7,blue,2,FALSE,0,1,5,75.89,379.45
2018-07-23,2018,3,7,29,2,Headphones,7,blue,2,FALSE,0,1,8,69.77,558.16
2018-07-30,2018,3,7,30,2,Headphones,7,blue,2,FALSE,0,1,7,71.09,497.63
2018-08-06,2018,3,8,31,2,Headphones,7,blue,2,FALSE,0,1,6,73.89,443.34
2018-08-13,2018,3,8,32,2,Headphones,7,blue,2,FALSE,0,1,5,70.09,350.45
2018-08-20,2018,3,8,33,2,Headphones,7,blue,2,FALSE,0,1,5,75.89,379.45
2018-08-27,2018,3,8,34,2,Headphones,7,blue,2,FALSE,0,1,4,75.89,303.56
2018-09-03,2018,3,9,35,2,Headphones,7,blue,2,FALSE,0,1,10,73.89,738.90
2018-09-10,2018,3,9,36,2,Headphones,7,blue,2,FALSE,0,1,9,59.37,534.33
2018-09-17,2018,3,9,37,2,Headphones,7,blue,2,FALSE,0,1,11,57.39,631.29
2018-09-24,2018,3,9,38,2,Headphones,7,blue,2,FALSE,0,1,11,63.99,703.89
2016-10-31,2016,4,10,44,3,Headphones,7,purple,9,FALSE,0,1,6,103.90,623.40
2016-11-07,2016,4,11,45,3,Headphones,7,purple,9,FALSE,0,1,3,109.99,329.97
2016-11-14,2016,4,11,46,3,Headphones,7,purple,9,FALSE,0,1,38,73.02,2774.76
2016-11-21,2016,4,11,47,3,Headphones,7,purple,9,FALSE,0,1,18,77.25,1390.50
2016-11-28,2016,4,11,48,3,Headphones,7,purple,9,FALSE,0,1,17,81.49,1385.33
2016-12-05,2016,4,12,49,3,Headphones,7,purple,9,FALSE,0,1,8,84.78,678.24
2016-12-12,2016,4,12,50,3,Headphones,7,purple,9,FALSE,0,1,9,86.88,781.92
2016-12-19,2016,4,12,51,3,Headphones,7,purple,9,FALSE,0,1,12,81.10,973.20
2016-12-26,2016,4,12,52,3,Headphones,7,purple,9,FALSE,0,1,14,80.49,1126.86
2017-01-02,2017,1,1,1,3,Headphones,7,purple,9,FALSE,0,1,5,91.66,458.30
2017-01-09,2017,1,1,2,3,Headphones,7,purple,9,FALSE,0,1,7,107.99,755.93
2017-01-16,2017,1,1,3,3,Headphones,7,purple,9,FALSE,0,1,3,108.99,326.97
2017-01-23,2017,1,1,4,3,Headphones,7,purple,9,FALSE,0,1,8,107.99,863.92
2017-01-30,2017,1,1,5,3,Headphones,7,purple,9,FALSE,0,1,3,109.99,329.97
2017-02-06,2017,1,2,6,3,Headphones,7,purple,9,FALSE,0,1,3,107.99,323.97
2017-02-13,2017,1,2,7,3,Headphones,7,purple,9,FALSE,0,1,8,102.94,823.52
2017-02-20,2017,1,2,8,3,Headphones,7,purple,9,FALSE,0,1,9,54.99,494.91
2017-02-27,2017,1,2,9,3,Headphones,7,purple,9,FALSE,0,1,7,109.99,769.93
2017-03-06,2017,1,3,10,3,Headphones,7,purple,9,FALSE,0,1,5,108.99,544.95
2017-03-13,2017,1,3,11,3,Headphones,7,purple,9,FALSE,0,1,6,108.99,653.94
2017-03-20,2017,1,3,12,3,Headphones,7,purple,9,FALSE,0,1,8,107.99,863.92
2017-03-27,2017,1,3,13,3,Headphones,7,purple,9,FALSE,0,1,11,108.99,1198.89
2017-04-03,2017,2,4,14,3,Headphones,7,purple,9,FALSE,0,1,3,107.99,323.97
2017-04-10,2017,2,4,15,3,Headphones,7,purple,9,FALSE,0,1,10,109.99,1099.90
2017-04-17,2017,2,4,16,3,Headphones,7,purple,9,FALSE,0,1,6,108.99,653.94
2017-04-24,2017,2,4,17,3,Headphones,7,purple,9,FALSE,0,1,9,62.97,566.73
2017-05-01,2017,2,5,18,3,Headphones,7,purple,9,FALSE,0,1,8,107.89,863.12
2017-05-08,2017,2,5,19,3,Headphones,7,purple,9,FALSE,0,1,5,107.99,539.95
2017-05-15,2017,2,5,20,3,Headphones,7,purple,9,FALSE,0,1,7,108.99,762.93
2017-05-22,2017,2,5,21,3,Headphones,7,purple,9,TRUE,1,1,9,100.27,902.43
2017-05-29,2017,2,5,22,3,Headphones,7,purple,9,TRUE,1,1,11,85.99,945.89
2017-06-05,2017,2,6,23,3,Headphones,7,purple,9,FALSE,0,1,3,109.99,329.97
2017-06-12,2017,2,6,24,3,Headphones,7,purple,9,FALSE,0,1,6,109.99,659.94
2017-06-19,2017,2,6,25,3,Headphones,7,purple,9,FALSE,0,1,5,108.99,544.95
2017-06-26,2017,2,6,26,3,Headphones,7,purple,9,FALSE,0,1,8,107.99,863.92
2017-07-03,2017,3,7,27,3,Headphones,7,purple,9,FALSE,0,1,7,109.99,769.93
2017-07-10,2017,3,7,28,3,Headphones,7,purple,9,FALSE,0,1,12,92.49,1109.88
2017-07-17,2017,3,7,29,3,Headphones,7,purple,9,TRUE,1,1,6,86.07,516.42
2017-07-24,2017,3,7,30,3,Headphones,7,purple,9,TRUE,1,1,15,88.74,1331.10
2017-07-31,2017,3,7,31,3,Headphones,7,purple,9,FALSE,0,1,11,109.99,1209.89
2017-08-07,2017,3,8,32,3,Headphones,7,purple,9,FALSE,0,1,12,109.99,1319.88
2017-08-14,2017,3,8,33,3,Headphones,7,purple,9,FALSE,0,1,4,108.99,435.96
2017-08-21,2017,3,8,34,3,Headphones,7,purple,9,FALSE,0,1,9,107.99,971.91
2017-08-28,2017,3,8,35,3,Headphones,7,purple,9,FALSE,0,1,6,107.99,647.94
2017-09-04,2017,3,9,36,3,Headphones,7,purple,9,FALSE,0,1,9,89.66,806.94
2017-09-11,2017,3,9,37,3,Headphones,7,purple,9,FALSE,0,1,3,108.99,326.97
2017-09-18,2017,3,9,38,3,Headphones,7,purple,9,FALSE,0,1,3,107.99,323.97
2017-09-25,2017,3,9,39,3,Headphones,7,purple,9,FALSE,0,1,10,98.36,983.60
2017-10-02,2017,4,10,40,3,Headphones,7,purple,9,FALSE,0,1,4,109.99,439.96
2017-10-09,2017,4,10,41,3,Headphones,7,purple,9,FALSE,0,1,10,107.99,1079.90
2017-10-16,2017,4,10,42,3,Headphones,7,purple,9,FALSE,0,1,6,107.99,647.94
2017-10-23,2017,4,10,43,3,Headphones,7,purple,9,FALSE,0,1,10,106.01,1060.10
2017-10-30,2017,4,10,44,3,Headphones,7,purple,9,FALSE,0,1,2,109.99,219.98
2017-11-06,2017,4,11,45,3,Headphones,7,purple,9,FALSE,0,1,6,102.31,613.86
2017-11-13,2017,4,11,46,3,Headphones,7,purple,9,FALSE,0,1,9,102.07,918.63
2017-11-20,2017,4,11,47,3,Headphones,7,purple,9,FALSE,0,1,7,108.10,756.70
2017-11-27,2017,4,11,48,3,Headphones,7,purple,9,FALSE,0,1,6,109.99,659.94
2017-12-04,2017,4,12,49,3,Headphones,7,purple,9,FALSE,0,1,5,105.59,527.95
2017-12-11,2017,4,12,50,3,Headphones,7,purple,9,FALSE,0,1,9,107.99,971.91
2017-12-18,2017,4,12,51,3,Headphones,7,purple,9,FALSE,0,1,7,104.59,732.13
2017-12-25,2017,4,12,52,3,Headphones,7,purple,9,FALSE,0,1,5,107.99,539.95
2018-01-01,2018,1,1,0,3,Headphones,7,purple,9,FALSE,0,1,6,101.39,608.34
2018-01-08,2018,1,1,1,3,Headphones,7,purple,9,FALSE,0,1,12,102.02,1224.24
2018-01-15,2018,1,1,2,3,Headphones,7,purple,9,FALSE,0,1,6,105.35,632.10
2018-01-22,2018,1,1,3,3,Headphones,7,purple,9,FALSE,0,1,7,103.39,723.73
2018-01-29,2018,1,1,4,3,Headphones,7,purple,9,FALSE,0,1,5,104.69,523.45
2018-02-05,2018,1,2,5,3,Headphones,7,purple,9,FALSE,0,1,8,105.08,840.64
2018-02-12,2018,1,2,6,3,Headphones,7,purple,9,FALSE,0,1,16,109.99,1759.84
2018-02-19,2018,1,2,7,3,Headphones,7,purple,9,FALSE,0,1,7,101.39,709.73
2018-02-26,2018,1,2,8,3,Headphones,7,purple,9,FALSE,0,1,8,104.03,832.24
2018-03-05,2018,1,3,9,3,Headphones,7,purple,9,FALSE,0,1,11,108.99,1198.89
2018-03-12,2018,1,3,10,3,Headphones,7,purple,9,FALSE,0,1,13,104.59,1359.67
